"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+5.32760062500E+008, -2.12874321891E-001, +0.00000000000E+000
+5.35259875000E+008, -2.12713939730E-001, +0.00000000000E+000
+5.37759687500E+008, -2.13893007406E-001, +0.00000000000E+000
+5.40259500000E+008, -2.12505549112E-001, +0.00000000000E+000
+5.42759312500E+008, -2.13827317287E-001, +0.00000000000E+000
+5.45259125000E+008, -2.14428847758E-001, +0.00000000000E+000
+5.47758937500E+008, -2.14624580675E-001, +0.00000000000E+000
+5.50258750000E+008, -2.16156960060E-001, +0.00000000000E+000
+5.52758562500E+008, -2.14866325537E-001, +0.00000000000E+000
+5.55258375000E+008, -2.15311599364E-001, +0.00000000000E+000
+5.57758187500E+008, -2.16420161553E-001, +0.00000000000E+000
+5.60258000000E+008, -2.16716327746E-001, +0.00000000000E+000
+5.62757812500E+008, -2.17693413530E-001, +0.00000000000E+000
+5.65257625000E+008, -2.19174113424E-001, +0.00000000000E+000
+5.67757437500E+008, -2.19292114032E-001, +0.00000000000E+000
+5.70257250000E+008, -2.19258146340E-001, +0.00000000000E+000
+5.72757062500E+008, -2.19266753925E-001, +0.00000000000E+000
+5.75256875000E+008, -2.20400362563E-001, +0.00000000000E+000
+5.77756687500E+008, -2.22113032540E-001, +0.00000000000E+000
+5.80256500000E+008, -2.21255217631E-001, +0.00000000000E+000
+5.82756312500E+008, -2.21047408694E-001, +0.00000000000E+000
+5.85256125000E+008, -2.21870459370E-001, +0.00000000000E+000
+5.87755937500E+008, -2.23378625801E-001, +0.00000000000E+000
+5.90255750000E+008, -2.22660918282E-001, +0.00000000000E+000
+5.92755562500E+008, -2.23311008969E-001, +0.00000000000E+000
+5.95255375000E+008, -2.23505009381E-001, +0.00000000000E+000
+5.97755187500E+008, -2.24044651603E-001, +0.00000000000E+000
+6.00255000000E+008, -2.23655277925E-001, +0.00000000000E+000
+6.02754812500E+008, -2.25993591577E-001, +0.00000000000E+000
+6.05254625000E+008, -2.25200526364E-001, +0.00000000000E+000
+6.07754437500E+008, -2.27066553737E-001, +0.00000000000E+000
+6.10254250000E+008, -2.25143537145E-001, +0.00000000000E+000
+6.12754062500E+008, -2.25564067338E-001, +0.00000000000E+000
+6.15253875000E+008, -2.26033859859E-001, +0.00000000000E+000
+6.17753687500E+008, -2.25747400006E-001, +0.00000000000E+000
+6.20253500000E+008, -2.25384137129E-001, +0.00000000000E+000
+6.22753312500E+008, -2.26609935720E-001, +0.00000000000E+000
+6.25253125000E+008, -2.25845839633E-001, +0.00000000000E+000
